Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
7637,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1950.0,353104.276,357021.1,183437.093,173584.006,120.08,105.676,20.023,7709,21.592,7833.647,2.194,31.593,15651.496,2551.902,43.838,5.732,1.699,28.269,105.1,7942.496,3935.66,4006.836,22.246,41.723,42.599,40.801,45.018,45.321,44.692,10.915,10.743,11.086,4.777,4.698,4.84,2817.464,181.212,13663.72,4231.012,283.693,438.022,417.894,458.914,606.271,597.923,615.009,282.173,271.36,293.562,425.721,423.659,427.864,124.658,0.349
7638,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1951.0,360937.923,364922.36,187619.254,177303.106,122.738,105.818,19.986,7870.845,21.567,7968.873,2.184,31.738,16041.888,2619.951,43.957,5.772,1.713,28.289,105.1,8171.043,4054.483,4116.559,22.39,41.744,42.635,40.805,44.953,45.28,44.603,10.842,10.689,10.995,4.76,4.701,4.807,2870.708,180.093,14017.112,4362.132,281.906,436.863,416.403,458.122,606.647,598.22,615.481,282.056,270.974,293.728,427.112,424.897,429.403,98.023,0.269
7639,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1952.0,368906.796,372997.188,191887.475,181109.714,125.454,105.951,19.939,8164.985,21.887,8180.784,2.193,31.607,16458.33,2682.663,44.117,5.821,1.739,28.318,105.1,8293.345,4122.618,4170.728,22.23,42.038,42.912,41.115,45.004,45.315,44.671,10.866,10.705,11.026,4.767,4.706,4.818,2901.373,177.531,14410.547,4423.309,277.415,432.944,412.68,454.034,603.371,595.187,611.978,281.325,270.458,292.784,426.006,424.052,428.021,15.795,0.042
7640,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1953.0,377087.58,381227.705,196230.287,184997.418,128.222,106.072,19.878,8415.259,22.066,8280.25,2.172,31.913,16857.475,2725.684,44.203,5.865,1.759,28.354,105.2,8442.216,4207.628,4234.587,22.137,42.205,43.033,41.329,44.958,45.215,44.684,10.912,10.73,11.093,4.781,4.708,4.843,2935.49,175.272,14786.709,4488.79,273.787,431.473,411.873,451.915,602.277,594.868,610.115,283.372,273.348,293.959,427.173,426.187,428.172,-135.005,-0.354
7641,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1954.0,385367.83,389731.406,200706.078,189025.328,131.082,106.179,19.804,8832.709,22.656,8727.152,2.239,30.958,17246.702,2791.547,44.238,5.906,1.798,28.374,105.2,8413.993,4201.096,4212.897,21.582,42.953,43.739,42.118,45.401,45.612,45.177,11.044,10.835,11.255,4.818,4.723,4.903,2950.974,172.207,15165.173,4496.033,267.593,421.599,402.622,441.447,590.987,583.968,598.456,275.88,266.439,285.876,417.324,416.818,417.83,-105.559,-0.271
7642,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1955.0,394094.982,398577.992,205350.073,193227.919,134.057,106.273,19.723,9081.134,22.777,8966.021,2.25,30.807,17549.401,2836.623,44.017,5.911,1.816,28.365,105.1,8468.267,4235.259,4233.008,21.24,43.388,44.133,42.594,45.607,45.774,45.43,11.102,10.876,11.33,4.839,4.734,4.934,2964.45,169.71,15462.056,4513.411,263.062,415.737,397.289,435.071,584.927,578.526,591.771,272.3,263.506,281.625,412.823,413.06,412.534,-115.107,-0.289
7643,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1956.0,403061.003,407656.597,210107.732,197548.865,137.111,106.357,19.636,9310.444,22.832,9191.188,2.255,30.738,17843.839,2854.63,43.759,5.913,1.833,28.358,105.2,8533.395,4273.641,4259.755,20.927,43.762,44.473,43.004,45.766,45.9,45.627,11.113,10.88,11.348,4.851,4.748,4.944,2971.993,167.295,15751.667,4524.259,258.802,410.12,392.047,429.089,579.816,574.083,585.964,268.732,260.541,277.423,409.281,410.314,408.12,-119.26,-0.292
7644,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1957.0,412252.191,416935.399,214965.294,201970.106,140.232,106.434,19.547,9510.155,22.803,9366.417,2.247,30.848,18127.957,2872.371,43.466,5.913,1.845,28.344,105.1,8617.802,4317.911,4299.891,20.663,44.057,44.757,43.312,45.862,45.978,45.742,11.093,10.863,11.326,4.856,4.762,4.942,2977.74,164.95,16032.271,4532.505,254.838,405.317,387.257,424.276,576.044,570.725,581.745,265.953,258.109,274.268,407.137,408.746,405.323,-143.738,-0.345
7645,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1958.0,421618.608,426295.763,219863.705,206432.057,143.38,106.507,19.454,9696.416,22.734,9354.309,2.194,31.593,18369.733,2881.589,43.069,5.903,1.858,28.342,105.1,8673.317,4349.047,4324.269,20.335,44.423,45.102,43.7,46.026,46.138,45.912,11.085,10.86,11.315,4.864,4.778,4.943,2977.771,162.657,16275.617,4528.779,250.758,399.513,381.608,418.319,570.899,565.924,576.222,261.868,254.115,270.073,403.424,405.27,401.32,-342.106,-0.802
7646,Estimates,India,,356,IND,IN,356.0,Country/Area,5501,1959.0,430972.917,435900.352,224885.438,211014.915,146.61,106.573,19.353,9904.746,22.718,9854.871,2.261,30.657,18592.576,2899.689,42.646,5.892,1.871,28.327,105.2,8687.83,4357.379,4330.451,19.928,44.889,45.56,44.174,46.27,46.386,46.152,11.113,10.889,11.342,4.879,4.796,4.957,2971.54,160.327,16503.422,4509.674,246.347,392.633,374.757,411.413,563.99,559.028,569.293,256.726,248.844,265.05,397.92,399.65,395.927,-49.875,-0.114
